Date,Actual_Price,Linear_Regression,Random_Forest,Gradient_Boosting,ARIMA
2018-06-20,677655.0,756145.2632476351,526003.95,382656.2959566893,434850.02903350187
2018-06-21,672974.0,685580.3772648508,498363.38,393286.09459589416,434850.0457515324
2018-06-22,608369.0,740710.1240525537,415312.03,141466.63523110264,434850.03023393964
2018-06-23,616248.0,651807.0571602859,379472.5,269141.88844104507,434850.0446372921
2018-06-24,617323.0,671354.8696311548,471478.96,371398.52730171476,434850.03126817197
2018-06-25,624918.0,656206.6640815126,483704.72,425073.10039390164,434850.04367732274
2018-06-26,609367.0,641512.8059700673,488462.01,470552.57354033523,434850.0321592107
2018-06-27,615713.0,582754.441286363,384524.57,346878.41801714996,434850.042850265
2018-06-28,590344.0,610888.1077136256,448918.74,388021.08170784754,434850.03292688157
2018-06-29,62183.0,489232.921011491,564276.48,643877.842006673,434850.0421377167
2018-06-30,6404.0,484456.5258598328,564888.34,658798.1413830341,434850.03358826536
2018-07-01,638582.0,502145.83268196526,575712.14,657304.3646335655,434850.0415238236
2018-07-02,661418.0,416750.6445150342,428738.57,141455.91260314992,434850.0341580779
2018-07-03,652959.0,348518.5641514521,498025.13,479405.0228009203,434850.0409949264
2018-07-04,659755.0,361085.5907707007,498068.81,479494.32650313637,434850.03464899765
2018-07-05,663914.0,376824.1249758914,497588.44,392498.1662287886,434850.04053925717
2018-07-06,66735.0,425940.5090189062,530905.36,350152.71594903525,434850.0350719476
2018-07-07,685693.0,744726.0516351953,649871.81,676076.7507010472,434850.0401466772
2018-07-08,677388.0,478022.8000360368,387737.33,269841.45268275146,434850.03543633845
2018-07-09,674175.0,514233.4852905963,515596.07,426275.2519339618,434850.03980845143
2018-07-10,632995.0,505361.25439643057,501622.31,425376.05399463646,434850.0357502779
2018-07-11,639471.0,510981.9952575378,500755.09,425477.5537856131,434850.0395170544
2018-07-12,622881.0,479191.9069028106,473492.41,392684.6225993827,434850.0360207512
2018-07-13,623805.0,674699.6272251742,507264.23,285620.84061555116,434850.0392660025
2018-07-14,627612.0,591436.945660818,384809.04,269323.4732128862,434850.0362537764
2018-07-15,635964.0,581542.7947897468,379586.83,269458.04832012317,434850.0390497096
2018-07-16,674175.0,615896.2060479987,503039.46,425631.7188134872,434850.0364545383
2018-07-17,732104.0,637009.6614092125,504762.52,425554.87277218624,434850.0388633634
2018-07-18,737078.0,636340.7539607882,505448.65,425589.452187575,434850.03662750387
2018-07-19,746686.0,632378.9064489892,393441.38,269976.1018017701,434850.0387028175
2018-07-20,735413.0,650522.5480066143,392744.22,269459.00431036483,434850.0367765217
2018-07-21,741929.0,713487.544589678,500859.92,393575.77095693315,434850.0385644999
2018-07-22,741849.0,694273.5525780745,387356.22,270088.351776941,434850.03690490744
2018-07-23,771111.0,808888.4766631824,431870.84,161269.73831137005,434850.0384453329
2018-07-24,842427.0,849234.4672155288,424406.62,141899.1575658252,434850.03701551765
2018-07-25,818139.0,753342.6567214582,500620.78,425654.55458649056,434850.03834266507
2018-07-26,795158.0,766957.7614694978,500834.81,438279.6024014772,434850.0371108134
2018-07-27,816501.0,755326.8839769636,389308.32,314652.40543780726,434850.038254212
2018-07-28,819215.0,799913.1804856298,501678.95,438595.2728302793,434850.03719291516
2018-07-29,821846.0,810528.085330083,487534.16,374007.86484971945,434850.0381780056
2018-07-30,818048.0,910922.5369535,415217.71,162692.9955869467,434850.0372636495
2018-07-31,778044.0,809265.6320197285,390087.68,347209.6429997379,434850.0381123503
2018-08-01,762491.0,846308.3501088123,505471.9,425463.9715246297,434850.03732459043
2018-08-02,756715.0,843788.9575693174,505428.22,393594.04314892314,434850.0380557852
2018-08-03,743439.0,826473.4069652983,500911.69,393085.46976507903,434850.03737709386
2018-08-04,703285.0,801552.033390078,496900.44,393164.6960518841,434850.03800705174
2018-08-05,706848.0,884229.3430061297,402839.22,141052.96524443128,434850.03742232797
2018-08-06,69518.0,633283.7428310793,510199.73,425916.5227835733,434850.0379650657
2018-08-07,675312.0,786088.5728446416,609641.83,675529.1814084379,434850.0374612992
2018-08-08,63058.0,443414.9163342194,501181.86,425316.4977855579,434850.0379288927
2018-08-09,656823.0,593324.336259187,602886.9,666288.1332784739,434850.03749487473
2018-08-10,618471.0,400525.5254043094,472409.35,391555.98239111423,434850.03789772803
2018-08-11,629573.0,400268.61593707465,465960.9,392046.39136016904,434850.03752380155
2018-08-12,632269.0,448053.67899548804,413484.83,141043.40350337577,434850.03787087824
2018-08-13,629757.0,573591.734716779,533556.44,382723.7082515474,434850.0375487234
2018-08-14,619971.0,492008.9746911408,491954.88,403793.15898573614,434850.03784774593
2018-08-15,630852.0,685438.79484142,521510.7,382368.00662485097,434850.0375701947
2018-08-16,633473.0,593511.367636899,478969.04,392803.0039721029,434850.0378278163
2018-08-17,658063.0,607827.643832973,479635.79,392797.80129566195,434850.0375886932
2018-08-18,642376.0,623219.6323003577,488064.37,392620.9464910448,434850.0378106461
2018-08-19,650607.0,631794.1964544713,492575.54,393267.4164132461,434850.0376046305
2018-08-20,630853.0,630777.2217742609,504078.26,425631.7188134872,434850.03779585316
2018-08-21,648876.0,645833.8784052769,494685.61,424965.6589706488,434850.03761836124
2018-08-22,637671.0,639355.5489034439,500107.66,425307.9736779967,434850.03778310836
2018-08-23,653488.0,654348.9222625818,496393.16,393155.1664380752,434850.0376301909
2018-08-24,671996.0,651616.8607842457,492511.48,392638.0689466699,434850.0377721281
2018-08-25,676319.0,656482.1715307875,490353.98,393370.8369206212,434850.0376403827
2018-08-26,670726.0,660789.3982538637,493821.5,438460.8175406884,434850.03776266816
2018-08-27,688464.0,651481.9675691468,398625.45,348082.4351141909,434850.03764916345
2018-08-28,709628.0,690316.1644079213,502141.11,470527.71458254877,434850.037754518
2018-08-29,704716.0,680203.0398019032,486130.41,470422.2632215684,434850.0376567284
2018-08-30,697823.0,708464.7599629901,496876.89,437742.3275032411,434850.03774749616
2018-08-31,703758.0,714097.0279918138,502868.03,438546.1944647082,434850.037663246
